,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,60,14,29,16580.70522,16639.74,3542.0868000001065,0.003560450488486522,2023-01-01 19:30:00,2023-01-02 10:30:00,0 days 15:00:00
1,-60,29,115,16606.46052,16841.94,-14128.768799999889,-0.01417999216126753,2023-01-02 10:30:00,2023-01-06 00:30:00,3 days 14:00:00
2,58,115,181,16875.62388,16924.01,2806.394959999954,0.0028672196266084082,2023-01-06 00:30:00,2023-01-08 18:30:00,2 days 18:00:00
3,-58,181,450,16890.161979999997,20841.16,-229157.88516000015,-0.23392303902582245,2023-01-08 18:30:00,2023-01-19 23:30:00,11 days 05:00:00
4,36,450,495,20882.84232,22955.8,74626.47647999998,0.09926606963912565,2023-01-19 23:30:00,2023-01-21 20:30:00,1 days 21:00:00
5,-2,524,572,22676.436240000003,23017.73,-682.5875199999937,-0.015050590683115095,2023-01-23 01:30:00,2023-01-25 01:30:00,2 days 00:00:00
6,-36,495,572,22909.8884,23017.73,-3882.297599999991,-0.004707207565445737,2023-01-21 20:30:00,2023-01-25 01:30:00,3 days 05:00:00
7,36,572,697,23063.76546,23751.02,24741.163440000062,0.02979801980695318,2023-01-25 01:30:00,2023-01-30 06:30:00,5 days 05:00:00
8,-36,697,715,23703.51796,23139.06,20320.48655999999,0.023813256789668502,2023-01-30 06:30:00,2023-01-31 00:30:00,0 days 18:00:00
9,37,715,748,23185.33812,23130.7,-2021.6104399999858,-0.0023565806854836113,2023-01-31 00:30:00,2023-02-01 09:30:00,1 days 09:00:00
10,-37,748,811,23084.4386,23417.75,-12332.521799999951,-0.014438791680210006,2023-02-01 09:30:00,2023-02-04 00:30:00,2 days 15:00:00
11,36,811,813,23464.5855,23337.66,-4569.318000000043,-0.00540923682628025,2023-02-04 00:30:00,2023-02-04 02:30:00,0 days 02:00:00
12,-36,813,830,23290.98468,23503.75,-7659.55151999995,-0.009135093381547721,2023-02-04 02:30:00,2023-02-04 19:30:00,0 days 17:00:00
13,36,830,856,23550.7575,23096.92,-16338.150000000052,-0.019270611571623575,2023-02-04 19:30:00,2023-02-05 21:30:00,1 days 02:00:00
14,-36,856,909,23050.72616,23194.36,-5170.818240000081,-0.006231206730886063,2023-02-05 21:30:00,2023-02-08 02:30:00,2 days 05:00:00
15,35,909,911,23240.74872,23228.15,-440.95519999993485,-0.0005420961326068063,2023-02-08 02:30:00,2023-02-08 04:30:00,0 days 02:00:00
16,-35,911,938,23181.6937,22948.13,8174.729499999958,0.010075350965404128,2023-02-08 04:30:00,2023-02-09 07:30:00,1 days 03:00:00
17,36,938,1045,22994.026260000002,21658.15,-48091.54536000003,-0.058096665842461315,2023-02-09 07:30:00,2023-02-13 18:30:00,4 days 11:00:00
18,-36,1045,1055,21614.833700000003,21641.27,-951.7067999999126,-0.0012230628450311531,2023-02-13 18:30:00,2023-02-14 04:30:00,0 days 10:00:00
19,36,1055,1113,21684.55254,24579.25,104209.10855999998,0.1334912239789292,2023-02-14 04:30:00,2023-02-16 14:30:00,2 days 10:00:00
20,-4,1314,1422,23020.3171,23695.14,-2699.291599999997,-0.029314231297013604,2023-02-24 23:30:00,2023-03-01 11:30:00,4 days 12:00:00
21,-36,1113,1422,24530.0915,23695.14,30058.25399999997,0.034037846944027894,2023-02-16 14:30:00,2023-03-01 11:30:00,12 days 21:00:00
22,38,1422,1430,23742.53028,23689.97,-1997.2906399999192,-0.0022137606809444765,2023-03-01 11:30:00,2023-03-01 19:30:00,0 days 08:00:00
23,-38,1430,1463,23642.590060000002,23460.27,6928.16228000007,0.0077115095908405484,2023-03-01 19:30:00,2023-03-03 04:30:00,1 days 09:00:00
24,39,1463,1717,23507.19054,22130.32,-53697.95105999999,-0.058572313763191164,2023-03-03 04:30:00,2023-03-13 18:30:00,10 days 14:00:00
25,-39,1717,1782,22086.05936,24342.8,-88012.88496,-0.10217941567644151,2023-03-13 18:30:00,2023-03-16 11:30:00,2 days 17:00:00
26,32,1782,1801,24391.4856,24919.03,16881.420799999963,0.02162821931600578,2023-03-16 11:30:00,2023-03-17 06:30:00,0 days 19:00:00
27,-32,1801,1802,24869.191939999997,25663.78,-25426.81792000006,-0.03195069875680101,2023-03-17 06:30:00,2023-03-17 07:30:00,0 days 01:00:00
28,30,1802,1918,25715.10756,27997.84,68481.9732,0.08877009107093148,2023-03-17 07:30:00,2023-03-22 03:30:00,4 days 20:00:00
29,-30,1918,1923,27941.84432,28049.59,-3232.3704,-0.003856069011267005,2023-03-22 03:30:00,2023-03-22 08:30:00,0 days 05:00:00
30,29,1923,2119,28105.68918,28725.0,17960.013779999965,0.02203506969829805,2023-03-22 08:30:00,2023-03-30 13:30:00,8 days 05:00:00
31,-29,2119,2208,28667.55,28114.63,16034.67999999995,0.0192873126583889,2023-03-30 13:30:00,2023-04-03 06:30:00,3 days 17:00:00
32,31,2208,2273,28170.85926,28023.75,-4560.387060000034,-0.005222036667120178,2023-04-03 06:30:00,2023-04-05 23:30:00,2 days 17:00:00
33,-31,2273,2329,27967.7025,27903.24,1998.3374999999323,0.0023048907932282647,2023-04-05 23:30:00,2023-04-08 07:30:00,2 days 08:00:00
34,31,2329,2483,27959.04648,30801.89,88128.14911999996,0.10167884380583492,2023-04-08 07:30:00,2023-04-14 17:30:00,6 days 10:00:00
35,-31,2483,2505,30740.286219999998,30459.94,8690.732819999983,0.009119831155560365,2023-04-14 17:30:00,2023-04-15 15:30:00,0 days 22:00:00
36,31,2505,2510,30520.85988,30359.38,-5005.876279999968,-0.005290803753069007,2023-04-15 15:30:00,2023-04-15 20:30:00,0 days 05:00:00
37,-31,2510,2526,30298.66124,30306.06,-229.3615600000012,-0.0002441942877078329,2023-04-15 20:30:00,2023-04-16 12:30:00,0 days 16:00:00
38,31,2526,2543,30366.672120000003,30304.66,-1922.3757200000946,-0.0020421111590677166,2023-04-16 12:30:00,2023-04-17 05:30:00,0 days 17:00:00
39,-31,2543,2632,30244.05068,28442.56,55846.211079999965,0.05956512568573702,2023-04-17 05:30:00,2023-04-20 22:30:00,3 days 17:00:00
40,35,2632,2749,28499.44512,27344.62,-40418.87920000005,-0.04052096857105414,2023-04-20 22:30:00,2023-04-25 19:30:00,4 days 21:00:00
41,-35,2749,2755,27289.93076,27611.39,-11251.073400000005,-0.011779408413566728,2023-04-25 19:30:00,2023-04-26 01:30:00,0 days 06:00:00
42,34,2755,2839,27666.61278,29345.54,57083.52548000005,0.06068423458088401,2023-04-26 01:30:00,2023-04-29 13:30:00,3 days 12:00:00
43,-2,2931,2938,28463.84822,28573.49,-219.2835600000035,-0.003851966155544728,2023-05-03 09:30:00,2023-05-03 16:30:00,0 days 07:00:00
44,-34,2839,2938,29286.84892,28573.49,24254.203279999958,0.024357653564868298,2023-04-29 13:30:00,2023-05-03 16:30:00,4 days 03:00:00
45,36,2938,3005,28630.636980000003,29346.99,25788.70871999995,0.025020505848347252,2023-05-03 16:30:00,2023-05-06 11:30:00,2 days 19:00:00
46,-36,3005,3032,29288.29602,28857.06,15524.49672000001,0.014723834384408163,2023-05-06 11:30:00,2023-05-07 14:30:00,1 days 03:00:00
47,37,3032,3238,28914.774120000002,27310.16,-59370.72244000007,-0.05549461024114,2023-05-07 14:30:00,2023-05-16 04:30:00,8 days 14:00:00
48,-37,3238,3401,27255.539679999998,26850.16,14999.048159999933,0.014873294924975022,2023-05-16 04:30:00,2023-05-22 23:30:00,6 days 19:00:00
49,38,3401,3436,26903.86032,26804.11,-3790.5121599999693,-0.0037076582621805576,2023-05-22 23:30:00,2023-05-24 10:30:00,1 days 11:00:00
50,-38,3436,3444,26750.501780000002,26695.41,2093.487640000094,0.002059467162638162,2023-05-24 10:30:00,2023-05-24 18:30:00,0 days 08:00:00
51,38,3444,3540,26748.80082,27142.49,14960.188840000046,0.014718012319477225,2023-05-24 18:30:00,2023-05-28 18:30:00,4 days 00:00:00
52,-39,3540,3761,27088.20502,26669.16,16342.755780000054,0.015469648863429941,2023-05-28 18:30:00,2023-06-06 23:30:00,9 days 05:00:00
53,40,3761,3772,26722.49832,26933.11,8424.467200000072,0.007881436738359726,2023-06-06 23:30:00,2023-06-07 10:30:00,0 days 11:00:00
54,-2,3928,4000,25813.5694,25959.77,-292.40120000000024,-0.005663711117765757,2023-06-13 22:30:00,2023-06-16 22:30:00,3 days 00:00:00
55,-1,3833,4000,26443.0579,25959.77,483.28789999999935,0.018276551139722708,2023-06-09 23:30:00,2023-06-16 22:30:00,6 days 23:00:00
56,-40,3772,4000,26879.24378,25959.77,36778.95120000001,0.034207576207339274,2023-06-07 10:30:00,2023-06-16 22:30:00,9 days 12:00:00
57,43,4000,4035,26011.68954,26548.46,23081.12977999999,0.02063573991126444,2023-06-16 22:30:00,2023-06-18 09:30:00,1 days 11:00:00
58,-43,4035,4071,26495.36308,26443.99,2209.0424399998956,0.0019389460655768742,2023-06-18 09:30:00,2023-06-19 21:30:00,1 days 12:00:00
